onset	duration	sample	value	key	prompt_text
3.1505	11.2845	6301	prompt	n/a	the quick brown fox jumps over a lazy dog\n
4.611	0.001	9222	keystroke_t	t	n/a
4.612	0.042	9224	keystroke_h	h	n/a
4.7115	0.09	9423	keystroke_e	e	n/a
4.846	0.075	9692	keystroke_Key.space	Key.space	n/a
4.9665	0.0895	9933	keystroke_q	q	n/a
5.087	0.12	10174	keystroke_u	u	n/a
5.162	0.12	10324	keystroke_i	i	n/a
5.297	0.135	10594	keystroke_c	c	n/a
5.448	0.104	10896	keystroke_k	k	n/a
5.522	0.1355	11044	keystroke_Key.space	Key.space	n/a
5.7325	0.09	11465	keystroke_b	b	n/a
5.8525	0.09	11705	keystroke_r	r	n/a
5.9875	0.0755	11975	keystroke_o	o	n/a
6.077	0.091	12154	keystroke_w	w	n/a
6.153	0.09	12306	keystroke_n	n	n/a
6.244	0.119	12488	keystroke_Key.space	Key.space	n/a
6.347	0.1055	12694	keystroke_f	f	n/a
6.4675	0.105	12935	keystroke_o	o	n/a
6.6475	0.09	13295	keystroke_x	x	n/a
6.6925	0.045	13385	keystroke_Key.space	Key.space	n/a
6.7525	0.1495	13505	keystroke_Key.space	Key.space	n/a
6.887	0.045	13774	keystroke_j	j	n/a
7.412	0.06	14824	keystroke_Key.backspace	Key.backspace	n/a
7.577	0.06	15154	keystroke_Key.backspace	Key.backspace	n/a
7.802	0.045	15604	keystroke_u	u	n/a
8.027	0.0905	16054	keystroke_m	m	n/a
8.372	0.045	16744	keystroke_Key.backspace	Key.backspace	n/a
8.492	0.06	16984	keystroke_Key.backspace	Key.backspace	n/a
8.702	0.06	17404	keystroke_j	j	n/a
8.8675	0.0605	17735	keystroke_u	u	n/a
9.0625	0.075	18125	keystroke_m	m	n/a
9.3025	0.0445	18605	keystroke_s	s	n/a
9.7525	0.09	19505	keystroke_Key.backspace	Key.backspace	n/a
10.053	0.075	20106	keystroke_p	p	n/a
10.173	0.105	20346	keystroke_s	s	n/a
10.368	0.09	20736	keystroke_Key.space	Key.space	n/a
10.878	0.075	21756	keystroke_o	o	n/a
10.983	0.15	21966	keystroke_v	v	n/a
11.148	0.105	22296	keystroke_e	e	n/a
11.193	0.105	22386	keystroke_r	r	n/a
11.328	0.075	22656	keystroke_Key.space	Key.space	n/a
11.478	0.075	22956	keystroke_a	a	n/a
11.553	0.1195	23106	keystroke_Key.space	Key.space	n/a
11.643	0.1045	23286	keystroke_l	l	n/a
11.7325	0.06	23465	keystroke_a	a	n/a
12.0325	0.015	24065	keystroke_y	y	n/a
12.062	0.045	24124	keystroke_z	z	n/a
12.363	0.045	24726	keystroke_Key.backspace	Key.backspace	n/a
