onset	duration	sample	value	key	prompt_text
9.897	0.1115	19794	keystroke_v	v	n/a
9.9845	0.097	19969	keystroke_i	i	n/a
10.1055	0.164	20211	keystroke_s	s	n/a
10.1985	0.075	20397	keystroke_h	h	n/a
12.4125	0.196	24825	keystroke_Key.cmd	Key.cmd	n/a
12.5365	0.084	25073	keystroke_v	v	n/a
13.4835	0.172	26967	keystroke_a	a	n/a
13.7395	0.172	27479	keystroke_x	x	n/a
21.2135	0.199	42427	keystroke_Key.cmd	Key.cmd	n/a
21.3005	0.168	42601	keystroke_c	c	n/a
22.6935	0.295	45387	keystroke_Key.cmd	Key.cmd	n/a
22.883	0.1415	45766	keystroke_v	v	n/a
36.05	0.12	72100	keystroke_Key.space	Key.space	n/a
36.202	8.8075	72404	prompt	n/a	the quick brown fox jumps over a lazy dog\n
36.875	0.106	73750	keystroke_t	t	n/a
36.935	0.09	73870	keystroke_h	h	n/a
37.04	0.105	74080	keystroke_e	e	n/a
37.115	0.1505	74230	keystroke_q	q	n/a
37.13	0.06	74260	keystroke_Key.space	Key.space	n/a
37.25	0.135	74500	keystroke_u	u	n/a
37.3105	0.0895	74621	keystroke_i	i	n/a
37.415	0.15	74830	keystroke_c	c	n/a
37.52	0.105	75040	keystroke_k	k	n/a
37.5805	0.12	75161	keystroke_Key.space	Key.space	n/a
37.925	0.06	75850	keystroke_Key.backspace	Key.backspace	n/a
38.0755	0.06	76151	keystroke_Key.backspace	Key.backspace	n/a
38.2255	0.0595	76451	keystroke_Key.backspace	Key.backspace	n/a
38.4355	0.015	76871	keystroke_Key.backspace	Key.backspace	n/a
38.526	0.0895	77052	keystroke_Key.backspace	Key.backspace	n/a
38.69	0.0455	77380	keystroke_Key.backspace	Key.backspace	n/a
38.8255	0.09	77651	keystroke_Key.backspace	Key.backspace	n/a
38.9005	0.12	77801	keystroke_Key.space	Key.space	n/a
39.0505	0.1205	78101	keystroke_q	q	n/a
39.126	0.119	78252	keystroke_u	u	n/a
39.3355	0.1355	78671	keystroke_c	c	n/a
39.6955	0.12	79391	keystroke_Key.backspace	Key.backspace	n/a
39.965	0.1055	79930	keystroke_i	i	n/a
40.1155	0.181	80231	keystroke_c	c	n/a
40.2505	0.075	80501	keystroke_k	k	n/a
40.311	0.1045	80622	keystroke_Key.space	Key.space	n/a
40.4005	0.09	80801	keystroke_b	b	n/a
40.911	0.1045	81822	keystroke_r	r	n/a
41.031	0.09	82062	keystroke_o	o	n/a
41.091	0.1495	82182	keystroke_w	w	n/a
41.2555	0.0905	82511	keystroke_n	n	n/a
41.361	0.09	82722	keystroke_Key.space	Key.space	n/a
41.406	0.1045	82812	keystroke_f	f	n/a
42.1105	0.1505	84221	keystroke_o	o	n/a
42.276	0.06	84552	keystroke_x	x	n/a
42.321	0.09	84642	keystroke_Key.space	Key.space	n/a
42.651	0.045	85302	keystroke_j	j	n/a
42.8155	0.0455	85631	keystroke_u	u	n/a
42.981	0.06	85962	keystroke_m	m	n/a
42.996	0.12	85992	keystroke_p	p	n/a
43.0855	0.1505	86171	keystroke_s	s	n/a
43.1455	0.1355	86291	keystroke_Key.space	Key.space	n/a
43.236	0.15	86472	keystroke_o	o	n/a
43.326	0.09	86652	keystroke_v	v	n/a
43.4315	0.134	86863	keystroke_e	e	n/a
43.521	0.105	87042	keystroke_r	r	n/a
43.582	0.059	87164	keystroke_Key.space	Key.space	n/a
43.6855	0.1055	87371	keystroke_a	a	n/a
43.776	0.06	87552	keystroke_Key.space	Key.space	n/a
43.8815	0.15	87763	keystroke_l	l	n/a
43.9855	0.0905	87971	keystroke_a	a	n/a
44.2705	0.1355	88541	keystroke_z	z	n/a
44.4205	0.0905	88841	keystroke_y	y	n/a
44.466	0.1045	88932	keystroke_Key.space	Key.space	n/a
44.5705	0.1205	89141	keystroke_d	d	n/a
44.676	0.105	89352	keystroke_o	o	n/a
