onset	duration	sample	value	key	prompt_text
3.7485	8.2205	7497	prompt	n/a	the quick brown fox jumps over a lazy dog\n
5.1395	0.0435	10279	keystroke_t	t	n/a
5.1675	0.1205	10335	keystroke_h	h	n/a
5.303	0.09	10606	keystroke_e	e	n/a
5.408	0.105	10816	keystroke_Key.space	Key.space	n/a
5.558	0.135	11116	keystroke_q	q	n/a
5.77	0.165	11540	keystroke_u	u	n/a
5.875	0.12	11750	keystroke_i	i	n/a
6.07	0.135	12140	keystroke_c	c	n/a
6.16	0.151	12320	keystroke_k	k	n/a
6.281	0.15	12562	keystroke_Key.space	Key.space	n/a
6.446	0.1205	12892	keystroke_b	b	n/a
6.5815	0.09	13163	keystroke_r	r	n/a
6.6715	0.105	13343	keystroke_o	o	n/a
6.7915	0.09	13583	keystroke_w	w	n/a
6.8665	0.1645	13733	keystroke_n	n	n/a
6.9565	0.1345	13913	keystroke_Key.space	Key.space	n/a
7.076	0.1205	14152	keystroke_f	f	n/a
7.2115	0.105	14423	keystroke_o	o	n/a
7.3765	0.12	14753	keystroke_x	x	n/a
7.511	0.105	15022	keystroke_Key.space	Key.space	n/a
8.4565	0.105	16913	keystroke_j	j	n/a
8.6515	0.06	17303	keystroke_u	u	n/a
8.861	0.135	17722	keystroke_m	m	n/a
8.951	0.135	17902	keystroke_p	p	n/a
9.057	0.135	18114	keystroke_s	s	n/a
9.147	0.1645	18294	keystroke_Key.space	Key.space	n/a
9.252	0.1195	18504	keystroke_o	o	n/a
9.3265	0.105	18653	keystroke_v	v	n/a
9.5065	0.165	19013	keystroke_e	e	n/a
9.5965	0.135	19193	keystroke_r	r	n/a
9.7465	0.12	19493	keystroke_Key.space	Key.space	n/a
9.8515	0.12	19703	keystroke_a	a	n/a
9.9865	0.105	19973	keystroke_Key.space	Key.space	n/a
10.1515	0.135	20303	keystroke_l	l	n/a
10.2715	0.105	20543	keystroke_a	a	n/a
10.6015	0.0745	21203	keystroke_z	z	n/a
10.931	0.1955	21862	keystroke_y	y	n/a
11.036	0.1355	22072	keystroke_Key.space	Key.space	n/a
11.1565	0.135	22313	keystroke_d	d	n/a
11.2615	0.12	22523	keystroke_o	o	n/a
11.4865	0.105	22973	keystroke_g	g	n/a
11.8915	0.0745	23783	keystroke_Key.enter	Key.enter	n/a
11.9735	4.09	23947	prompt	n/a	jane penguin tours flows\n
12.5815	0.12	25163	keystroke_j	j	n/a
12.7315	0.12	25463	keystroke_a	a	n/a
