onset	duration	sample	value	key	prompt_text
0.004	0.1185	8	keystroke_Key.enter	Key.enter	n/a
0.688	11.624	1376	prompt	n/a	the quick brown fox jumps over a lazy dog\n
4.083	0	8166	keystroke_t	t	n/a
4.084	0.1145	8168	keystroke_h	h	n/a
4.575	0.0595	9150	keystroke_e	e	n/a
4.6495	0.1035	9299	keystroke_Key.space	Key.space	n/a
5.154	0.1075	10308	keystroke_q	q	n/a
5.3505	0.1045	10701	keystroke_u	u	n/a
5.4105	0.104	10821	keystroke_i	i	n/a
5.8605	0.074	11721	keystroke_c	c	n/a
5.964	0.1525	11928	keystroke_k	k	n/a
6.086	0.06	12172	keystroke_Key.space	Key.space	n/a
6.1905	0.1335	12381	keystroke_b	b	n/a
6.3685	0.1355	12737	keystroke_r	r	n/a
6.5205	0.1645	13041	keystroke_o	o	n/a
6.67	0.074	13340	keystroke_w	w	n/a
6.789	0.1185	13578	keystroke_n	n	n/a
6.878	0.1525	13756	keystroke_Key.space	Key.space	n/a
7.2235	0.089	14447	keystroke_f	f	n/a
7.327	0.094	14654	keystroke_o	o	n/a
7.6145	0.0595	15229	keystroke_x	x	n/a
7.659	0.089	15318	keystroke_Key.space	Key.space	n/a
7.8995	0.074	15799	keystroke_j	j	n/a
8.107	0.0595	16214	keystroke_u	u	n/a
8.8895	0.089	17779	keystroke_m	m	n/a
9.0835	0.151	18167	keystroke_p	p	n/a
9.264	0.134	18528	keystroke_s	s	n/a
9.4125	0.0745	18825	keystroke_Key.space	Key.space	n/a
9.562	0.0915	19124	keystroke_o	o	n/a
9.6385	0.1485	19277	keystroke_v	v	n/a
9.861	0.151	19722	keystroke_e	e	n/a
9.9355	0.14	19871	keystroke_r	r	n/a
10.0605	0.0595	20121	keystroke_Key.space	Key.space	n/a
10.135	0.1185	20270	keystroke_a	a	n/a
10.239	0.0895	20478	keystroke_Key.space	Key.space	n/a
10.495	0.089	20990	keystroke_l	l	n/a
10.569	0.1635	21138	keystroke_a	a	n/a
10.7175	0.104	21435	keystroke_z	z	n/a
11.379	0.0595	22758	keystroke_y	y	n/a
11.424	0.104	22848	keystroke_Key.space	Key.space	n/a
11.889	0.0295	23778	keystroke_d	d	n/a
11.9335	0.104	23867	keystroke_o	o	n/a
12.082	0.0745	24164	keystroke_g	g	n/a
12.2045	0.1045	24409	keystroke_Key.enter	Key.enter	n/a
12.316	8.2415	24632	prompt	n/a	positive predictions checklist trackbacks\n
13.194	0.0595	26388	keystroke_o	o	n/a
13.718	0.135	27436	keystroke_o	o	n/a
13.837	0.078	27674	keystroke_s	s	n/a
13.9595	0.104	27919	keystroke_i	i	n/a
14.0785	0.0885	28157	keystroke_t	t	n/a
14.182	0.122	28364	keystroke_i	i	n/a
14.3055	0.0885	28611	keystroke_v	v	n/a
14.528	0.12	29056	keystroke_e	e	n/a
14.632	0.1075	29264	keystroke_Key.space	Key.space	n/a
14.8735	0.134	29747	keystroke_p	p	n/a
14.9775	0.104	29955	keystroke_r	r	n/a
15.037	0.091	30074	keystroke_e	e	n/a
15.2345	0.089	30469	keystroke_d	d	n/a
15.3385	0.104	30677	keystroke_i	i	n/a
15.5635	0.1205	31127	keystroke_c	c	n/a
15.9815	0.0615	31963	keystroke_t	t	n/a
16.1025	0.104	32205	keystroke_i	i	n/a
16.1915	0.0895	32383	keystroke_o	o	n/a
16.3405	0.091	32681	keystroke_n	n	n/a
16.464	0.104	32928	keystroke_s	s	n/a
16.583	0.089	33166	keystroke_Key.space	Key.space	n/a
17.257	0.0925	34514	keystroke_c	c	n/a
17.319	0.075	34638	keystroke_h	h	n/a
17.424	0.104	34848	keystroke_e	e	n/a
17.4835	0.104	34967	keystroke_c	c	n/a
17.6025	0.089	35205	keystroke_k	k	n/a
17.859	0.074	35718	keystroke_l	l	n/a
18.082	0.123	36164	keystroke_i	i	n/a
18.2495	0.119	36499	keystroke_s	s	n/a
18.324	0.0895	36648	keystroke_t	t	n/a
18.4435	0.089	36887	keystroke_Key.space	Key.space	n/a
18.743	0.119	37486	keystroke_t	t	n/a
18.773	0.104	37546	keystroke_r	r	n/a
19.029	0.105	38058	keystroke_a	a	n/a
19.0745	0.134	38149	keystroke_c	c	n/a
19.164	0.104	38328	keystroke_k	k	n/a
19.434	0.09	38868	keystroke_b	b	n/a
19.5685	0.134	39137	keystroke_a	a	n/a
19.628	0.1345	39256	keystroke_c	c	n/a
19.8695	0.1335	39739	keystroke_k	k	n/a
20.018	0.0595	40036	keystroke_s	s	n/a
20.482	0.074	40964	keystroke_Key.enter	Key.enter	n/a
20.5605	7.723	41121	prompt	n/a	migration deleted hospital pointer\n
21.381	0.0445	42762	keystroke_m	m	n/a
21.6065	0.075	43213	keystroke_i	i	n/a
21.875	0.119	43750	keystroke_g	g	n/a
21.9195	0.0895	43839	keystroke_r	r	n/a
22.1155	0.149	44231	keystroke_a	a	n/a
22.2495	0.0895	44499	keystroke_t	t	n/a
22.3685	0.105	44737	keystroke_i	i	n/a
22.443	0.1095	44886	keystroke_o	o	n/a
22.6415	0.0895	45283	keystroke_n	n	n/a
22.761	0.1955	45522	keystroke_Key.space	Key.space	n/a
23.4655	0.0445	46931	keystroke_d	d	n/a
23.541	0.0895	47082	keystroke_e	e	n/a
