onset	duration	sample	value	key	prompt_text
4.5355	7.202	9071	prompt	n/a	the quick brown fox jumps over a lazy dog\n
5.688	0.027	11376	keystroke_t	t	n/a
5.689	0.086	11378	keystroke_h	h	n/a
5.97	0.09	11940	keystroke_e	e	n/a
6.045	0.105	12090	keystroke_Key.space	Key.space	n/a
6.213	0.135	12426	keystroke_q	q	n/a
6.363	0.06	12726	keystroke_u	u	n/a
6.528	0.105	13056	keystroke_i	i	n/a
6.618	0.12	13236	keystroke_c	c	n/a
6.753	0.105	13506	keystroke_k	k	n/a
6.888	0.075	13776	keystroke_Key.space	Key.space	n/a
7.083	0.09	14166	keystroke_b	b	n/a
7.203	0.09	14406	keystroke_r	r	n/a
7.323	0.135	14646	keystroke_o	o	n/a
7.473	0.12	14946	keystroke_w	w	n/a
7.608	0.075	15216	keystroke_n	n	n/a
7.788	0.075	15576	keystroke_Key.space	Key.space	n/a
7.878	0.09	15756	keystroke_f	f	n/a
7.983	0.105	15966	keystroke_o	o	n/a
8.163	0.135	16326	keystroke_x	x	n/a
8.328	0.075	16656	keystroke_Key.space	Key.space	n/a
8.448	0.09	16896	keystroke_j	j	n/a
8.643	0.075	17286	keystroke_u	u	n/a
8.839	0.09	17678	keystroke_m	m	n/a
8.989	0.075	17978	keystroke_p	p	n/a
9.094	0.105	18188	keystroke_s	s	n/a
9.2885	0.045	18577	keystroke_Key.space	Key.space	n/a
9.4085	0.075	18817	keystroke_o	o	n/a
9.4685	0.105	18937	keystroke_v	v	n/a
9.6345	0.089	19269	keystroke_e	e	n/a
9.8135	0.091	19627	keystroke_r	r	n/a
9.9485	0.075	19897	keystroke_Key.space	Key.space	n/a
10.2785	0.121	20557	keystroke_a	a	n/a
10.4435	0.045	20887	keystroke_Key.space	Key.space	n/a
10.6235	0.06	21247	keystroke_l	l	n/a
10.6385	0.09	21277	keystroke_a	a	n/a
10.8185	0.12	21637	keystroke_z	z	n/a
10.9235	0.105	21847	keystroke_y	y	n/a
11.1335	0.105	22267	keystroke_Key.space	Key.space	n/a
11.2535	0.105	22507	keystroke_d	d	n/a
11.3435	0.09	22687	keystroke_o	o	n/a
11.4645	0.12	22929	keystroke_g	g	n/a
11.6435	0.09	23287	keystroke_Key.enter	Key.enter	n/a
11.745	4.3415	23490	prompt	n/a	drums whole promotes seal\n
12.514	0.105	25028	keystroke_d	d	n/a
12.694	0.105	25388	keystroke_r	r	n/a
12.784	0.09	25568	keystroke_u	u	n/a
12.994	0.09	25988	keystroke_m	m	n/a
13.144	0.105	26288	keystroke_s	s	n/a
13.294	0.09	26588	keystroke_Key.space	Key.space	n/a
13.399	0.105	26798	keystroke_w	w	n/a
13.505	0.089	27010	keystroke_h	h	n/a
13.744	0.06	27488	keystroke_o	o	n/a
13.9095	0.105	27819	keystroke_l	l	n/a
14.0285	0.09	28057	keystroke_e	e	n/a
14.1335	0.06	28267	keystroke_Key.space	Key.space	n/a
14.3135	0.075	28627	keystroke_p	p	n/a
14.4035	0.075	28807	keystroke_r	r	n/a
14.509	0.135	29018	keystroke_o	o	n/a
14.659	0.09	29318	keystroke_m	m	n/a
14.764	0.09	29528	keystroke_o	o	n/a
14.869	0.15	29738	keystroke_t	t	n/a
15.019	0.105	30038	keystroke_e	e	n/a
15.214	0.09	30428	keystroke_s	s	n/a
15.319	0.09	30638	keystroke_Key.space	Key.space	n/a
15.379	0.09	30758	keystroke_s	s	n/a
15.574	0.06	31148	keystroke_e	e	n/a
15.754	0.09	31508	keystroke_a	a	n/a
15.829	0.0595	31658	keystroke_l	l	n/a
15.9935	0.0905	31987	keystroke_Key.enter	Key.enter	n/a
16.092	6.114	32184	prompt	n/a	through solutions holes instrument\n
16.774	0.09	33548	keystroke_t	t	n/a
17.299	0.075	34598	keystroke_h	h	n/a
