onset	duration	sample	value	key	prompt_text
3.34	11.7785	6680	prompt	n/a	the quick brown fox jumps over a lazy dog\n
6.314	0.025	12628	keystroke_t	t	n/a
6.384	0.106	12768	keystroke_h	h	n/a
6.474	0.165	12948	keystroke_e	e	n/a
6.624	0.12	13248	keystroke_Key.space	Key.space	n/a
6.8355	0.135	13671	keystroke_q	q	n/a
7.781	0.06	15562	keystroke_u	u	n/a
8.035	0.061	16070	keystroke_i	i	n/a
8.246	0.135	16492	keystroke_c	c	n/a
8.605	0.091	17210	keystroke_k	k	n/a
8.7715	0.104	17543	keystroke_Key.space	Key.space	n/a
9.1015	0.09	18203	keystroke_f	f	n/a
9.3415	0.09	18683	keystroke_o	o	n/a
9.5665	0.1345	19133	keystroke_x	x	n/a
9.746	0.09	19492	keystroke_Key.space	Key.space	n/a
9.986	0.09	19972	keystroke_j	j	n/a
10.1515	0.075	20303	keystroke_u	u	n/a
10.4215	0.09	20843	keystroke_m	m	n/a
10.7065	0.045	21413	keystroke_p	p	n/a
10.8715	0.12	21743	keystroke_s	s	n/a
10.9615	0.12	21923	keystroke_Key.space	Key.space	n/a
11.2015	0.135	22403	keystroke_o	o	n/a
11.3515	0.135	22703	keystroke_v	v	n/a
11.4415	0.21	22883	keystroke_e	e	n/a
11.5765	0.165	23153	keystroke_r	r	n/a
11.7565	0.105	23513	keystroke_Key.space	Key.space	n/a
12.4015	0.18	24803	keystroke_a	a	n/a
12.5665	0.12	25133	keystroke_Key.space	Key.space	n/a
12.9265	0.09	25853	keystroke_l	l	n/a
13.0615	0.09	26123	keystroke_a	a	n/a
13.3165	0.18	26633	keystroke_z	z	n/a
13.4665	0.059	26933	keystroke_y	y	n/a
13.6005	0.135	27201	keystroke_Key.space	Key.space	n/a
13.9455	0.121	27891	keystroke_d	d	n/a
14.1105	0.105	28221	keystroke_o	o	n/a
14.2755	0.1505	28551	keystroke_g	g	n/a
15.0265	0.09	30053	keystroke_Key.enter	Key.enter	n/a
15.123	8.335	30246	prompt	n/a	scanned carolina holy surrey\n
15.9265	0.12	31853	keystroke_s	s	n/a
16.4365	0.18	32873	keystroke_c	c	n/a
16.5865	0.15	33173	keystroke_a	a	n/a
16.7965	0.09	33593	keystroke_n	n	n/a
16.9465	0.09	33893	keystroke_n	n	n/a
17.0665	0.105	34133	keystroke_e	e	n/a
17.2765	0.15	34553	keystroke_d	d	n/a
17.4415	0.135	34883	keystroke_Key.space	Key.space	n/a
17.7115	0.1645	35423	keystroke_c	c	n/a
17.831	0.135	35662	keystroke_a	a	n/a
18.0255	0.105	36051	keystroke_r	r	n/a
18.3855	0.091	36771	keystroke_o	o	n/a
18.641	0.0905	37282	keystroke_l	l	n/a
19.6165	0.0595	39233	keystroke_i	i	n/a
19.916	0.1055	39832	keystroke_n	n	n/a
20.0365	0.165	40073	keystroke_a	a	n/a
20.1865	0.135	40373	keystroke_Key.space	Key.space	n/a
20.5765	0.15	41153	keystroke_h	h	n/a
20.6965	0.105	41393	keystroke_o	o	n/a
20.9065	0.12	41813	keystroke_l	l	n/a
21.0715	0.195	42143	keystroke_y	y	n/a
21.3715	0.075	42743	keystroke_Key.space	Key.space	n/a
21.5815	0.135	43163	keystroke_s	s	n/a
21.8215	0.09	43643	keystroke_u	u	n/a
22.091	0.0755	44182	keystroke_r	r	n/a
22.286	0.09	44572	keystroke_r	r	n/a
22.481	0.12	44962	keystroke_e	e	n/a
22.646	0.1055	45292	keystroke_y	y	n/a
23.321	0.135	46642	keystroke_Key.enter	Key.enter	n/a
23.462	19.5115	46924	prompt	n/a	polyphonic civil mean continually\n
24.207	0.06	48414	keystroke_p	p	n/a
24.5065	0.12	49013	keystroke_l	l	n/a
25.3615	0.075	50723	keystroke_=	=	n/a
26.3815	0.03	52763	keystroke_Key.backspace	Key.backspace	n/a
26.5465	0.06	53093	keystroke_Key.backspace	Key.backspace	n/a
27.237	0.075	54474	keystroke_o	o	n/a
27.432	0.09	54864	keystroke_l	l	n/a
28.7665	0.015	57533	keystroke_y	y	n/a
29.381	0.09	58762	keystroke_p	p	n/a
29.696	0.075	59392	keystroke_h	h	n/a
30.086	0.166	60172	keystroke_o	o	n/a
31.046	0.1055	62092	keystroke_n	n	n/a
31.2715	0.0745	62543	keystroke_i	i	n/a
31.391	0.166	62782	keystroke_c	c	n/a
31.571	0.0905	63142	keystroke_Key.space	Key.space	n/a
32.127	0.12	64254	keystroke_c	c	n/a
32.292	0.075	64584	keystroke_i	i	n/a
32.517	0.135	65034	keystroke_v	v	n/a
32.667	0.09	65334	keystroke_i	i	n/a
32.8915	0.1055	65783	keystroke_l	l	n/a
33.117	0.149	66234	keystroke_Key.space	Key.space	n/a
33.552	0.12	67104	keystroke_m	m	n/a
33.7615	0.15	67523	keystroke_e	e	n/a
33.9115	0.165	67823	keystroke_a	a	n/a
34.0765	0.135	68153	keystroke_n	n	n/a
34.2265	0.15	68453	keystroke_Key.space	Key.space	n/a
34.7965	0.1505	69593	keystroke_c	c	n/a
34.917	0.15	69834	keystroke_o	o	n/a
34.977	0.15	69954	keystroke_n	n	n/a
35.277	0.1195	70554	keystroke_t	t	n/a
35.5165	0.09	71033	keystroke_u	u	n/a
36.4015	0.09	72803	keystroke_Key.backspace	Key.backspace	n/a
37.062	0.0895	74124	keystroke_i	i	n/a
37.377	0.105	74754	keystroke_n	n	n/a
37.662	0.09	75324	keystroke_u	u	n/a
40.1235	0.058	80247	keystroke_a	a	n/a
41.8015	0.075	83603	keystroke_l	l	n/a
41.9665	0.075	83933	keystroke_l	l	n/a
42.492	0.075	84984	keystroke_y	y	n/a
42.881	0.09	85762	keystroke_Key.enter	Key.enter	n/a
42.9765	11.247	85953	prompt	n/a	texture fold abuse sunrise\n
43.767	0.1345	87534	keystroke_t	t	n/a
43.9615	0.135	87923	keystroke_e	e	n/a
44.3215	0.105	88643	keystroke_x	x	n/a
44.9215	0.15	89843	keystroke_t	t	n/a
45.282	0.12	90564	keystroke_u	u	n/a
45.597	0.135	91194	keystroke_r	r	n/a
45.717	0.165	91434	keystroke_e	e	n/a
46.0465	0.135	92093	keystroke_Key.space	Key.space	n/a
46.4815	0.1655	92963	keystroke_d	d	n/a
46.617	0.135	93234	keystroke_o	o	n/a
46.857	0.135	93714	keystroke_l	l	n/a
47.652	0.075	95304	keystroke_Key.backspace	Key.backspace	n/a
47.802	0.06	95604	keystroke_Key.backspace	Key.backspace	n/a
47.937	0.105	95874	keystroke_Key.backspace	Key.backspace	n/a
48.867	0.105	97734	keystroke_f	f	n/a
49.107	0.075	98214	keystroke_o	o	n/a
49.302	0.105	98604	keystroke_l	l	n/a
49.497	0.15	98994	keystroke_d	d	n/a
49.632	0.15	99264	keystroke_Key.space	Key.space	n/a
50.352	0.12	100704	keystroke_a	a	n/a
50.8315	0.09	101663	keystroke_b	b	n/a
51.2965	0.09	102593	keystroke_u	u	n/a
51.5065	0.12	103013	keystroke_s	s	n/a
51.6715	0.165	103343	keystroke_e	e	n/a
51.8515	0.165	103703	keystroke_Key.space	Key.space	n/a
52.572	0.12	105144	keystroke_s	s	n/a
52.8565	0.075	105713	keystroke_u	u	n/a
53.0815	0.105	106163	keystroke_n	n	n/a
53.3365	0.091	106673	keystroke_r	r	n/a
53.5015	0.09	107003	keystroke_i	i	n/a
53.8015	0.165	107603	keystroke_s	s	n/a
53.9365	0.12	107873	keystroke_e	e	n/a
